,meterID,testYear,installationYear,meterSize,meterMake,accuracy,gallons_lost
515,90424527,2019,1994,0.625,BADGER,100.11,-0.10999999999999943
527,44127632,2020,1998,0.625,NEPTUNE,100.34,-0.3400000000000034
531,36229182,2019,1991,0.625,NEPTUNE,100.35,-0.3499999999999943
540,36228469,2018,1991,0.625,NEPTUNE,100.01,-0.010000000000005116
541,14048442,2019,2000,0.625,BADGER,100.4,-0.4000000000000057
542,25108574,2019,1977,0.625,NEPTUNE,100.11,-0.10999999999999943
545,44463505,2019,1998,0.625,NEPTUNE,100.44,-0.4399999999999977
546,84320489,2019,2007,0.625,NEPTUNE,100.22,-0.21999999999999886
561,44129628,2019,1998,0.625,NEPTUNE,100.13,-0.12999999999999545
563,78395522,2019,2003,0.625,NEPTUNE,100.48,-0.480000000000004
572,46941149,2018,1999,0.625,NEPTUNE,100.02,-0.01999999999999602
582,94305787,2019,1994,0.625,BADGER,100.98,-0.980000000000004
584,15200684,2019,2015,0.625,BADGER,100.62,-0.6200000000000045
603,11684342,2018,1957,0.625,TRIDENT,-3.8,103.8
605,42501811,2019,1996,0.625,NEPTUNE,101.48,-1.480000000000004
607,28883230,2018,1983,0.625,NEPTUNE,101.45,-1.4500000000000028
613,31511156,2019,1999,1.0,NEPTUNE,101.41,-1.4099999999999966
616,17546416,2019,2010,0.625,BADGER,100.42,-0.4200000000000017
619,6993630,2018,1953,0.625,TRIDENT,100.5,-0.5
642,90489951,2020,1990,0.625,BADGER,101.35,-1.3499999999999943
649,78394123,2018,2003,0.625,NEPTUNE,100.08,-0.0799999999999983
653,80613319,2018,2005,0.625,NEPTUNE,100.44,-0.4399999999999977
670,80611830,2019,2005,0.625,NEPTUNE,100.58,-0.5799999999999983
671,83100359,2018,2006,0.625,NEPTUNE,100.14,-0.14000000000000057
672,44463656,2018,1998,0.625,NEPTUNE,100.22,-0.21999999999999886
678,44536308,2018,1998,0.625,NEPTUNE,100.23,-0.23000000000000398
685,14687413,2020,2010,0.625,BADGER,100.77,-0.769999999999996
688,14391591,2019,2010,1.0,BADGER,100.11,-0.10999999999999943
692,40650514,2019,1995,0.625,NEPTUNE,100.21,-0.20999999999999375
694,79405734,2019,2004,0.625,NEPTUNE,100.48,-0.480000000000004
707,33895115,2018,2007,1.0,BADGER,100.72,-0.7199999999999989
709,42947539,2019,1997,0.625,NEPTUNE,102.33,-2.3299999999999983
714,16588526,2019,2000,0.625,BADGER,100.24,-0.23999999999999488
728,17544689,2019,2010,0.625,BADGER,100.71,-0.7099999999999937
744,15249266,2020,2010,0.625,BADGER,101.09,-1.0900000000000034
746,78393598,2018,2003,0.625,NEPTUNE,100.11,-0.10999999999999943
761,42720229,2018,1997,0.625,NEPTUNE,100.23,-0.23000000000000398
762,42285446,2019,1996,0.625,NEPTUNE,100.22,-0.21999999999999886
768,15201371,2019,2015,0.625,BADGER,100.54,-0.5400000000000063
776,95040382,2019,1995,0.625,BADGER,100.6,-0.5999999999999943
782,51900541,2019,2010,0.625,BADGER,100.27,-0.269999999999996
792,13622670,2019,2014,0.625,BADGER,100.55,-0.5499999999999972
799,15199191,2019,2016,0.625,BADGER,100.18,-0.18000000000000682
807,13489835,2019,2010,1.0,BADGER,101.94,-1.9399999999999977
832,82819885,2018,2006,0.625,NEPTUNE,100.09,-0.09000000000000341
835,15799920,2019,2016,0.625,BADGER,100.52,-0.519999999999996
847,15478608,2019,2015,0.625,BADGER,100.64,-0.6400000000000006
848,42720506,2018,1997,0.625,NEPTUNE,100.8,-0.7999999999999972
853,80612724,2019,2005,0.625,NEPTUNE,100.2,-0.20000000000000284
863,14642573,2018,1959,0.625,TRIDENT,-3.8,103.8
877,14221513,2019,2010,0.625,BADGER,100.54,-0.5400000000000063
882,16451173,2019,2010,1.0,BADGER,100.11,-0.10999999999999943
883,19078672,2019,2003,0.625,BADGER,100.92,-0.9200000000000017
885,15199450,2018,2015,0.625,BADGER,100.62,-0.6200000000000045
895,45574059,2019,1999,0.625,NEPTUNE,100.03,-0.030000000000001137
897,42947728,2019,1997,0.625,NEPTUNE,100.05,-0.04999999999999716
903,5480207,2019,1952,0.625,TRIDENT,100.53,-0.5300000000000011
